Instrumento,Link Video,Link Blog,Msg. Video,Msg. Blog,Msg Promo,Msg Saludo,Msg Retorno
Canto,https://youtube.com/shorts/pU2YBo9ZPQ8?feature=share,https://alextrememp.com/2026/04/21/mas-alla-de-la-voz-como-el-canto-desarrolla-la-seguridad-y-el-autoestima-en-ninos-y-adultos/,"¡Hola [Nombre Apoderado]! 👋 Te saludamos de Vibra Music. ✨ Estaba viendo este video de una de nuestras alumnas de Canto interpretando ""Self Control"" y me impactó la seguridad que proyecta. Me acordé de ustedes porque ese es precisamente nuestro objetivo: que desarrollen esa confianza para expresarse. ¡Te lo comparto para que te inspires hoy! 🎤🎶 ¿Qué te pareció la interpretación? 😊","¡Hola [Nombre Apoderado]! 👋 ✨ Te comparto este artículo que escribimos sobre cómo el Canto va mucho más allá de la voz; es una herramienta increíble para la seguridad personal. Me pareció muy útil para complementar lo que conversamos antes. 😊

Míralo aquí:",¡Hola [Nombre Apoderado]! 👋 ✨ ¡En el mes de cumpleaños de su peque! 🎂 En Vibra Music queremos ser parte de la celebración regalándole un 25% de descuento en sus clases de Canto. 🎁🎤 Es el momento perfecto para que siga desarrollando esa voz y seguridad que tanto nos gusta.¿Te gustaría que te reservemos el cupo con este beneficio especial? 🥳,¡Hola [Nombre Apoderado]! 👋 ✨ ¡Llegó el gran día! 🎂 Desde Vibra Music queremos enviar un afectuoso saludo por este cumpleaños. 🎤🥳 Que hoy sea un día lleno de risas y mucha música. ¡A seguir brillando con esa voz increíble! 🎶🌟,¡Hola [Nombre Apoderado]! 👋 ✨ Te saludamos de Vibra Music. Estaba revisando nuestros horarios de Canto y me acordé de ustedes. 🎤 Nos encantaría retomar ese proceso y seguir potenciando esa voz.¿Te gustaría que te ayude a buscar un horario cómodo para volver a empezar este mes? 😊
Guitarra,https://youtu.be/_Jyzf0aEaLA,https://alextrememp.com/2026/04/21/guitarra-en-mano-las-3-habilidades-sociales-que-tu-hijo-desarrolla-al-aprender-este-instrumento/,¡Hola [Nombre Apoderado]! 👋 Te saludamos de Vibra Music. ✨ Acabo de ver este video de nuestro ensamble de Guitarras y me encantó ver cómo los alumnos conectan al tocar juntos. Me acordé mucho de ustedes porque esa es la meta: que la música sea también una forma de hacer amigos y equipo. ¡Aquí te lo paso! 🎸✨ ¡Se siente una energía increíble cuando tocan en grupo! 🙌,"¡Hola [Nombre Apoderado]! 👋 ✨ Quería compartirte este breve artículo titulado ""Guitarra en mano: Las 3 habilidades sociales que tu hijo desarrolla al aprender música"". Es fascinante cómo un instrumento puede ayudar tanto a hacer amigos, ganar seguridad y trabajar en equipo. 🎸 Quería compartírtelo porque es justo lo que buscamos fortalecer en la escuela. ¡Disfrútalo!",¡Hola [Nombre Apoderado]! 👋 ✨ ¡En el mes de cumpleaños de tu peque! 🥳 en Vibra Music queremos celebrarlo con un regalo: un 25% de descuento en su próximo mes de Guitarra. 🎸🎁 Queremos que la música siga siendo su mejor compañía en este nuevo año.¿Te ayudo a aplicar este regalo para su próxima mensualidad? 🎂✨,"¡Hola [Nombre Apoderado]! 👋 ✨ ¡Muchísimas felicidades por este día de cumpleaños tan especial! 🎂🎸 Esperamos que pasen una jornada maravillosa, celebrando cada logro y cada nueva melodía. ¡Un gran abrazo de parte de todo el equipo de Vibra Music! 🥳✨",¡Hola [Nombre Apoderado]! 👋 ✨ ¡Hola! Pasaba por aquí para saludarte y decirte que en la escuela extrañamos el sonido de esa guitarra. 🎸 Las puertas de Vibra Music están abiertas para cuando decidan retomar sus clases.¿Te parece si coordinamos una sesión de re-ingreso para ver en qué nivel estamos?
Piano,https://youtube.com/shorts/La4o_eHRA6M?feature=share,https://alextrememp.com/2026/04/21/mas-que-musica-disciplina-piano-minirecital/,"¡Hola [Nombre Apoderado]! 👋 Te escribe Alex de Vibra Music. ✨ Estaba revisando este material sobre cómo el Piano desarrolla una concentración única y una seguridad arrolladora en los chicos, y de inmediato pensé en ustedes. Quería compartírtelo porque es justo el tipo de progreso que buscamos fortalecer. ¡Disfrútalo! 🎹🌟 ¿A poco no es emocionante ver todo lo que pueden lograr?","¡Hola [Nombre Apoderado]! 👋 ✨

Te comparto esta lectura rápida sobre cómo el Piano es, en realidad, una herramienta de formación para la vida. Como director de Vibra Music, he visto cómo este instrumento es el vehículo perfecto para entrenar la disciplina y la confianza, especialmente ahora que nos preparamos con todo para nuestra Operación Talento. 🎹🧠

Aquí tienes el link:","¡Hola [Nombre Apoderado]! 👋 ✨ ¡Este mes de tu cumpleaños! 🎂 En Vibra Music estamos felices de acompañarlos un año más, por eso queremos obsequiarles un 25% de descuento para sus clases de Piano. 🎹🎁 Es nuestra forma de premiar su constancia y talento.¡Avísame para activar este beneficio de cumpleaños hoy mismo! 🥳🌟",¡Hola [Nombre Apoderado]! 👋 ✨ ¡Feliz cumpleaños! 🎂🎹 Hoy celebramos este día especial y nos hace muy felices ser parte de su historia musical. Que este nuevo año venga cargado de armonía y mucha felicidad. ¡A disfrutar al máximo! 🥳🌟,"¡Hola [Nombre Apoderado]! 👋 ✨ ¡Hola! Sabemos que la vida a veces se pone a mil, pero el Piano siempre es un buen refugio para relajarse y enfocarse. 🎹 Me encantaría que vuelvan a ser parte de nuestra comunidad este mes.¿Te ayudo a ver qué cupos tenemos disponibles para un retorno sencillo?"
Violín,https://youtube.com/shorts/Eqj4gpMBWpg?feature=share,https://alextrememp.com/2026/04/21/el-arte-de-la-perseverancia-lo-que-el-violin-nos-ensena-sobre-la-constancia-y-el-oido-musical/,"¡Hola [Nombre Apoderado]! 👋 Te saludamos de Vibra Music. ✨ Hoy me compartieron este testimonio de un padre de familia de nuestra área de Violín y me pareció muy honesto sobre el proceso de aprendizaje. Como director, valoro mucho este feedback y quería que tú también lo escucharas. ¡Te lo comparto! 🎻🤝 Me dio mucha alegría escucharlo, ¿qué opinas tú?","¡Hola [Nombre Apoderado]! 👋 ✨ Estaba revisando este artículo sobre la constancia que exige el Violín y me acordé de ustedes. Es un instrumento que enseña el valor del esfuerzo como pocos. 🎻✨

Te lo comparto por aquí:","¡Hola [Nombre Apoderado]! 👋 ✨ ¡En el mes de tu cumpleaños de su peque! 🎂🎻 En Vibra Music valoramos mucho el esfuerzo que pone en el Violín, y por eso le tenemos un regalo especial: un 25% de descuento en sus clases. 🎁✨¿Te gustaría aprovechar este regalo para celebrar su nuevo año musical? 🥳🎶",¡Hola [Nombre Apoderado]! 👋 ✨ ¡Qué fecha tan especial! 🎂🎻 Enviamos un saludo muy afectuoso por este cumpleaños. Que la música siga acompañando su crecimiento y que pasen un día inolvidable. ¡Felicidades! 🥳🎶,"¡Hola [Nombre Apoderado]! 👋 ✨ Te saludamos de Vibra Music. El Violín es un instrumento de mucha constancia y nos daría mucha alegría ayudarles a retomar ese camino que ya habían iniciado. 🎻Si tienes unos minutos, me encantaría contarte las nuevas opciones de horario que tenemos."
Batería,https://youtube.com/shorts/rqVaIsH61j0?feature=share,https://alextrememp.com/2026/04/21/el-ritmo-de-la-inteligencia-los-beneficios-de-la-bateria-en-la-coordinacion-y-la-concentracion-escolar/,"¡Hola [Nombre Apoderado]! 👋 Te saludamos de Vibra Music. ✨ Me encontré con este video que resume muy bien por qué la Batería es tan potente para la concentración y la coordinación. Es información que siempre comparto con los padres de familia que confían en nosotros. ¡Míralo aquí, está muy interesante! 🥁🧠 ¿Sabías que ayudaba tanto a la atención?","¡Hola [Nombre Apoderado]! 👋 ✨ Te comparto este artículo sobre los beneficios de la Batería en la coordinación y el rendimiento escolar. ¡Es impresionante cómo el ritmo ayuda a la inteligencia! 🥁

Léelo aquí:","¡Hola [Nombre Apoderado]! 👋 ✨ ¡En el mes de su cumpleaños! 🎂🥁 En Vibra Music queremos que celebre con mucha energía, por eso le regalamos un 25% de descuento en sus clases de Batería por su mes de cumpleaños. 🎁⚡ ¡Que el ritmo no pare!¿Te parece si activamos este descuento ahora para que lo tengan listo? 🥳🔥","¡Hola [Nombre Apoderado]! 👋 ✨ ¡Feliz cumpleaños! 🎂🥁 Hoy el ritmo de la fiesta lo ponen ustedes. Deseamos que sea un día increíble, lleno de sorpresas y mucha alegría. ¡Gracias por permitirnos ser parte de sus celebraciones! 🥳🔥",¡Hola [Nombre Apoderado]! 👋 ✨ ¡Hola! Esperamos que todo esté yendo muy bien. El aula de Batería no es lo mismo sin su energía. 🥁 Nos gustaría mucho que regresen a clases y sigan avanzando con el ritmo.¿Te gustaría que te mande los horarios disponibles para esta semana?
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
